"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"8296",0,0,0,1,0,0,5,0,0,0,1,60,62,22,0,2.98913049697876,10,NA,5,33,0
"8297",1,0,0,1,0,0,3,0,0,0,1,66,60,20,0,3.8461537361145,11,NA,NA,37,0
"8298",0,0,0,1,0,0,5,0,0,0,1,64,62,25,0,NA,3,0,6,39,0
"8299",0,0,0,1,0,0,1,0,0,0,1,62,62,28,1,NA,17,12,14,36,2
"8300",1,0,0,1,0,1,1,0,0,0,1,74,74,26,1,21.9017086029053,16,13,14,34,1
"8301",1,0,0,1,0,0,2,0,0,0,1,69,69,28,1,31.25,13,6,6,33,0
"8302",1,0,0,1,0,0,10,0,0,1,0,70,70,15,1,15.1894006729126,16,3,0,34,0
"8303",0,0,0,1,0,0,10,0,0,1,0,62,62,18,0,8.65384578704834,15,3,0,33,0
"8304",1,0,0,1,0,0,3,0,0,0,1,69,69,21,1,16.769229888916,12,12,2,36,0
"8305",0,0,0,1,0,0,4,0,0,0,1,65,66,24,0,2.78551530838013,6,3,3,36,0
"8306",0,0,0,1,0,0,6,0,0,0,1,62,61,21,0,4,12,6,0,NA,0
"8307",1,0,0,1,0,0,6,0,0,0,1,66,66,21,0,8.96860980987549,8,6,0,32,0
"8308",0,1,0,0,0,0,4,NA,NA,NA,NA,64,64,21,0,NA,NA,12,8,NA,1
"8309",0,0,0,1,0,0,4,0,0,0,1,58,57,21,0,10,7,0,0,35,0
"8310",0,1,0,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,NA,NA
"8311",0,1,0,0,0,1,3,NA,NA,NA,NA,63,63,23,1,NA,NA,16,12,NA,1
"8312",0,1,0,0,0,0,2,NA,NA,NA,NA,63,62,22,0,NA,NA,12,10,NA,0
"8313",0,1,0,0,0,0,3,NA,NA,NA,NA,61,61,23,0,NA,NA,NA,12,NA,0
"8314",1,0,0,1,0,0,4,0,0,0,1,68,68,25,0,11.5384616851807,12,7,10,35,0
"8315",0,0,0,1,0,0,4,0,0,0,1,63,62,27,1,9.61538505554199,12,7,10,34,1
"8316",1,0,0,1,0,0,7,0,0,0,1,66,72,23,0,9.44108772277832,15,3,3,34,1
"8317",0,0,0,1,0,0,7,0,0,0,1,63,62,24,0,4.73372793197632,12,NA,3,32,0
"8318",1,0,0,1,0,0,8,0,0,0,1,65,65,21,1,NA,14,5,2,35,0
"8319",0,0,0,1,0,0,8,0,0,0,1,62,61,26,1,13.7755098342896,12,4,2,34,0
"8320",1,0,0,1,0,0,7,0,0,0,1,66,65,27,1,17.3992671966553,12,3,2,32,0
"8321",1,0,0,1,0,0,8,0,0,0,1,67,65,18,0,8.65384578704834,11,5,2,31,1
"8322",1,0,0,1,0,0,8,0,0,0,1,64,64,21,0,NA,10,NA,NA,38,0
"8323",1,0,0,1,0,0,2,0,0,0,1,68,68,21,0,16.3461532592773,12,2,12,34,2
"8324",0,1,0,0,1,0,8,NA,NA,NA,NA,60,60,26,1,NA,NA,10,8,NA,2
"8325",0,1,0,0,0,1,2,NA,NA,NA,NA,66,66,25,0,NA,NA,NA,NA,NA,1
"8326",1,1,0,0,0,0,10,NA,NA,NA,NA,70,70,NA,0,NA,NA,NA,NA,NA,0
"8327",1,0,0,1,0,0,2,0,0,0,1,64,64,22,0,11.1888113021851,12,8,3,39,0
"8328",1,0,0,1,0,0,7,0,0,0,1,71,70,20,1,5.31726360321045,12,6,5,34,0
"8329",0,0,0,1,0,0,7,0,0,0,1,65,64,20,0,NA,12,5,3,33,0
"8330",0,0,0,1,0,0,5,0,0,0,1,64,64,24,1,NA,12,7,5,33,1
"8331",1,0,0,1,0,0,7,0,0,0,1,67,67,24,0,9.61538505554199,9,5,4,33,0
"8332",0,0,0,1,0,0,9,NA,NA,NA,NA,62,NA,23,NA,NA,NA,6,NA,NA,NA
"8333",1,0,0,1,0,0,4,0,0,0,1,65,64,21,1,3.8461537361145,12,10,8,33,0
"8334",0,0,0,1,0,0,8,0,0,0,1,64,64,21,1,7.8125,12,2,3,32,0
"8335",0,1,0,0,0,0,4,NA,NA,NA,NA,67,67,24,0,NA,NA,12,12,NA,0
